negative_word,count1,non_negative_word,count2
missed,13,TOMORROW,3
787,6,checked,84
😒,3,PBI,10
onto,5,knew,26
child,16,door,20
winter,15,able,66
Cleveland,3,Springs,7
Christmas,3,beat,5
house,4,IVR,5
😂😂😂😂,3,Call,8
lmfao,3,Don,35
requested,7,chicken,3
paying,6,Tell,5
attention,5,use,91
sfo,4,idea,37
shit,3,instead,60
upgrades,9,Poor,11
avail,4,effort,6
Okay,6,Monday,29
speaking,4,reservation,98
bagage,3,hire,15
extra,15,numbers,14
payment,5,messages,8
needed,7,rushed,4
PHLAirport,4,degree,6
Flt,4,Too,17
Orlando,19,pilots,22
👍👍,3,stillwaiting,3
Yes,27,Well,12
Don,17,Flighting,36
case,11,receive,16
Guess,4,email,154
cut,4,lives,4
FLT,4,event,6
Some,4,For,11
brought,6,profits,6
eyes,5,❤️,3
giving,11,fll,5
anything,26,sfo,8
Must,5,div,3
scheduled,11,obviously,10
These,5,knows,20
photos,4,resolved,15
sharing,6,picks,4
😁,4,opportunity,5
part,14,voicemail,3
pay,19,Flightly,6
sincerely,3,Houston,39
bestairline,3,thinks,5
America,12,repair,7
line,15,damage,7
Out,4,interesting,4
certainly,3,exp,7
assistance,16,value,5
coat,4,Booked,7
overhead,6,months,29
Companion,6,requested,11
Pass,4,middle,24
hosting,3,screwing,5
IAH,10,month,21
set,19,lesson,8
brilliant,3,terribly,3
Cuba,5,babies,3
Plz,3,face,9
Ethiopia,3,Ive,10
GRR,5,ugh,5
upgraded,10,dfw,14
benefit,3,Sat,11
Premier,4,doesnt,6
World,6,unitedsucks,7
qualify,3,boston,4
literally,4,hate,29
Always,9,”,35
dollar,4,shown,4
hotel,13,weeks,51
Portland,7,First,24
paint,3,flown,23
storm,11,mad,11
Winter,6,forget,3
onboard,9,compassion,10
seeks,6,nearly,11
balance,7,beg,3
figure,8,directed,7
changing,8,principle,3
Flighting,7,When,49
current,12,stroller,5
purchased,7,Continental,3
AmericanAirlines,5,fee,50
Cool,4,Booking,93
money,13,Problems,93
THANKS,5,sorry,58
planned,6,paying,37
Heathrow,6,true,12
York,4,suck,39
hilarious,4,standing,18
Detroit,3,OVER,5
DMed,9,HOUR,7
touch,9,100,42
wheel,3,feet,8
NOT,6,Wtf,7
pass,39,Make,10
Had,11,mind,13
enough,15,unused,5
pts,3,aircraft,25
min,13,looking,41
impressed,9,property,4
official,4,HUMAN,5
trueblue,4,SERVICE,5
gets,9,Unhappy,3
social,12,dinner,8
otherwise,3,Fran,3
worry,6,Held,4
hold,32,ordered,4
baby,6,forgot,13
support,11,transfer,16
3130,3,400,12
PBI,5,Flightling,17
position,5,damn,18
overbooked,3,Chairman,5
bumped,5,continually,4
Who,8,Platinum,12
happened,10,UA1740,3
years,13,inbound,10
skies,6,dep,4
ARE,15,closer,4
THE,23,push,10
BEST,14,airplane,17
AIRWAYS,3,Lol,5
FOLLOW,10,terminal,34
BACK,3,SLC,7
PLEASE,15,heart,3
food,14,AmericanAirlines,17
distribution,3,wonderful,4
All,17,table,3
Those,4,proving,3
Australia,9,impossible,16
saw,16,interested,3
guy,15,speed,6
throughout,5,afternoon,15
pls,9,Las,6
counter,5,rather,28
cust,6,ahead,11
touched,3,attempt,13
national,3,insult,5
Social,5,injury,5
Fly,6,misplaced,6
brand,5,Gold,10
tix,11,Lots,8
adding,8,ReFlight,3
EVER,3,following,10
allowance,3,DMing,3
helps,3,etc,12
Didn,5,onholdwith,3
sit,9,reward,7
roxydigital,3,apply,5
peanuts,5,credits,8
truck,4,equally,4
Probably,3,1200,3
coffee,6,overnight,26
daughters,3,moving,18
13th,3,ice,14
entertainment,6,end,33
smooth,9,sit,59
resolution,5,LGA,31
music,10,cruel,3
guess,10,unusual,3
hard,13,notice,17
ETA,3,30min,8
return,22,listen,5
picture,8,known,11
must,9,confirmation,28
Blue,8,domestic,9
flyfi,5,tweeting,12
Seattle,12,EST,6
border,3,ads,5
rates,6,systems,13
hurt,3,failure,20
accidentally,4,resolution,12
name,45,answers,29
legal,3,certificate,3
sorry,16,staff,125
exactly,8,LaGuardia,4
happens,14,unprofessional,11
flyer,6,uncaring,3
earned,4,watching,9
